"ZTrafego,C,15","Pop_IBGE,N,6,0","Dom_IBGE,N,6,0","Macrozona,C,20","Nome_ZT,C,50","Pop_OD,N,6,0","Dom_OD,N,6,0","Perc_Pop,N,6,2","Perc_Dom,N,6,2","Area_km2,N,9,2","X_Centroid,N,11,4","Y_Centroid,N,12,4","Pop_Area,N,8,2"
1,8378,3133,Centro,Centro,152,63,1.81,2.01,1.82,409255.0743,7435099.9663,4603.30
10,11252,3261,Sudeste,Jardim da Granja e Jardim Souto,290,88,2.58,2.70,1.50,412192.7493,7433831.6897,7501.33
11,2509,704,Sudeste,CTA e INPE,238,68,9.49,9.66,11.85,411449.5132,7431699.5015,211.73
12,6328,1826,Sul,Vila Nova Conceicao e Vila Sao Bento,230,76,3.63,4.16,3.80,410499.3410,7430387.3698,1665.26
13,27201,9069,Sul,Jardim Satelite e Floradas de Sao Jose,249,93,0.92,1.03,3.75,409204.2313,7431229.9436,7253.60
14,14967,5295,Oeste,Jardim Aquarius e Jardim Colinas,215,91,1.44,1.72,3.17,407269.6295,7432674.3182,4721.45
15,1565,462,Centro,Condominio Esplanada do Sol e Serimbura,261,83,16.68,17.97,3.43,405778.3960,7434760.8879,456.27
16,19395,5443,Norte,Jardim Telespark e Jardim Altos de Santana,433,121,2.23,2.22,1.99,406760.0848,7438091.8134,9746.23
17,5857,1755,Norte,Alto da Ponte e Vila Veneziani,289,88,4.93,5.01,1.11,407724.9962,7439451.1584,5276.58
19,9219,2708,Leste,Jardim Motorama e Jardim Nova Detroit,283,89,3.07,3.29,1.48,416140.1260,7437263.6987,6229.05
2,11615,3702,Centro,Vila Maria e Vila Santa Luzia,223,85,1.92,2.30,1.67,409720.5762,7436500.9315,6955.09
20,14367,4250,Leste,Jardim Americano e Vista Verde,297,89,2.07,2.09,9.84,415584.3446,7435127.7163,1460.06
21,12078,3323,Leste,Chacara Pousada do Vale e Campos de Sao Jose,274,86,2.27,2.59,7.65,418536.1021,7432541.1281,1578.82
22,9195,2614,Sudeste,Residencial Flamboyant e Jardim Uira,265,83,2.88,3.18,7.77,413704.9912,7431599.9207,1183.40
23,22844,6101,Sudeste,Jardim do Lago e Vila Iracema,324,89,1.42,1.46,14.91,415838.3912,7429052.3124,1532.13
24,9453,2590,Sul,Parque Interlagos e Altos da Quinta,285,82,3.01,3.17,16.94,412231.5420,7426355.9959,558.03
25,36359,11078,Sul,Bosque dos Eucaliptos e Quinta das Flores,276,83,0.76,0.75,6.41,409654.2229,7428256.3987,5672.23
26,17176,4500,Sul,Conjunto Habitacional Dom Pedro,289,83,1.68,1.84,1.46,409143.1448,7425518.6828,11764.38
27,11072,3120,Sul,Jardim Imperial e Jardim Colonial,299,86,2.70,2.76,0.99,408340.3230,7424910.3753,11183.84
28,31955,8574,Sul,Bosque dos Ipes e Campo dos Alemoes,340,91,1.06,1.06,3.11,408444.6204,7427018.6457,10274.92
29,31702,9100,Sul,Cidade Morumbi e Residencial Uniao,301,90,0.95,0.99,3.18,407521.7428,7427754.5343,9969.18
3,8870,2683,Centro,Jardim Paulista e Monte Castelo,272,84,3.07,3.13,1.09,410576.0405,7435960.3146,8137.61
30,22828,7397,Sul,Parque Industrial e Jardim Oriente,249,87,1.09,1.18,3.93,407832.3454,7430269.5781,5808.65
31,28847,8938,Sul,Palmeiras de Sao Jose e Rio Comprido,293,86,1.02,0.96,7.33,405801.5151,7428337.7091,3935.47
32,18397,5821,Oeste,Jardim Alvorada e Jardim das Industrias,289,94,1.57,1.61,6.35,405367.5535,7430307.3023,2897.17
33,730,213,Oeste,Limoeiro,108,33,14.79,15.49,17.49,403643.3887,7431193.6955,41.74
34,6866,2103,Oeste,Urbanova,130,38,1.89,1.81,3.44,403311.3092,7433939.6997,1995.93
35,1302,375,Centro,Banhado,139,44,10.68,11.73,4.20,407755.9764,7435916.4312,310.00
36,299,79,Norte,Vazio urbano,0,0,0.00,0.00,11.62,401328.2460,7436484.2094,25.73
37,5570,1558,Norte,Vila Sao Geraldo e Jardim Minas Gerais,264,79,4.74,5.07,3.03,406203.0120,7439389.7565,1838.28
38,6841,1987,Norte,Vila Paiva e Jardim Boa Vista,302,88,4.41,4.43,3.34,406258.8407,7440653.7398,2048.20
39,6399,1823,Extremo Norte,Chacara dos Freitas e Chacara do Bonsucesso,334,101,5.22,5.54,32.80,403325.2078,7443830.4491,195.09
4,8122,2371,Centro,Vila Sao Pedro e Jardim Jussara,297,90,3.66,3.80,1.11,411032.1649,7435302.5924,7317.12
40,1513,432,Leste,Residencial Vista Linda,195,65,12.89,15.05,16.13,412915.5450,7439032.4290,93.80
41,0,0,Leste,Vazio urbano,0,0,0.00,0.00,25.71,418130.1247,7442282.0962,0.00
42,20587,5919,Leste,Eugenio de Melo e Galo Branco,307,91,1.49,1.54,10.09,419078.3437,7439957.1211,2040.34
43,21114,5960,Leste,Jardim Santa Ines e Residencial Frei Galvao,312,88,1.48,1.48,7.39,418841.8955,7437583.8213,2857.10
44,35631,10029,Leste,Parque Novo Horizonte e Residencial Dom Bosco,324,95,0.91,0.95,13.77,419847.6387,7433810.0540,2587.58
45,6897,1919,Leste,Jardim Ebenezer e Chacara Sitio Jatai,290,89,4.20,4.64,19.71,421578.1161,7436461.0289,349.92
46,1003,273,Sudeste,Cajuru,9,4,0.90,1.47,49.08,418928.0923,7427346.7352,20.44
47,10615,3006,Sul,Jardim Republica e Vila das Flores,266,79,2.51,2.63,5.30,408179.9087,7424720.7444,2002.83
48,8744,2780,Extremo Norte,Sao Francisco Xavier e ?rea Rural,183,63,2.09,2.27,638.96,399518.4249,7454023.3308,13.68
49,1063,307,Leste,Jardim Diamante e REVAP,244,69,22.95,22.48,4.08,413057.4406,7434697.6885,260.54
